	title	label
74	Remarks by the President on the Resurgence of the American Auto Industry	1
75	Opinion | No, We Can’t? Or Won’t?	1
76	"DNC TV AD: ""Trapped"""	1
77	Resource Not Available	1
78	Singer Tina Turner: “This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.” Do You Support To Tina ? – American President Donald J. Tru	1
79	Obama Orders Life-Sized Bronze Statute of Himself To Be Permanently Installed in White House	0
80	Barack Obama’s Remarks in St. Paul	1
81	Food Stamp Enrollment Drops by Four Million in One Month	0
82	WE CALLED IT! Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore's Yearbook 'Signature' (VIDEO)	0
83	Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia	1
84	The Associated Press: Obama Hits Clinton on NAFTA Support	1
85	AFP: McCain renews attacks on Obama links to radical	1
86	WATCH FULL Ted Cruz presser on new deal with Kasich (UPDATE: PART TWO ADDED)	1
87	Current-Law Distribution of Federal Taxes By Cash Income Percentiles, 2007	1
88	Biographical Directory of the U.S. Congress	1
89	BREAKING: Conservative Icon Ted Nugent Killed In Hunting Accident	0
90	RACE FOR CITY HALL: The Republican Candidate; A Mercurial Mayor's Confident Journey	1
91	ViralDevil.com is for sale (Viral Devil)	0
92	Bill Murray Had This to Say About Rochester, New Hampshire Residents – News Daily 12	0
93	Trump Gives Chaffetz The Thumbs Up For Investigating Hillary Clinton’s Email Server	0
94	Bureau of Labor Statistics Data	1
95	Student Hasn't Stopped Filming Since Florida School Shooting	0
96		1
97	3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs	1
98	Sasse Statement on Trade War	1
99	Transcripts	1
100	Congressman Pence Discusses House Republican Energy Bill on MSNBC's Morning Joe	1
101	Remarks by President Trump in a Listening Session on Healthcare	1
102	Candidate Comparison	1
103	New York Man Wanted For Infecting 240 Men And Women With HIV!!!	0
104	BREAKING: Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America	0
105	'This Week' Transcript: McKay, Napolitano, Salazar and Allen	1
106	Jim DeMint on Twitter	1
107	by Mark Halperin	1
108	Sale of the Etch A Sketch Brand	1
109	Vladimir Putin's Approval Rating Hits All-Time High, Boosted by Syria Airstrikes	1
110	New Regulation Requires 75 MPH Governor On All Motorcycles	1
111	Lindsey Graham Threatens To Convert To Democrat If Republicans Don’t Dump Trump – True Trumpers	0
112	Peace Through Strength and American Pride vs. “Enemy-Centric” Policy	1
113	Thinking about writing in a candidate on Election Day? Read this before you do.	1
114	Rep. Ross: We need to get government running again	1
115	Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands	1
116	Crist has experience to be vice president, McCain says	1
117	LexisNexis(R) Publisher	1
118	CQ.com	1
119	Obama Demands Investigation into Subprime Loan Discrimination	1
120	Honolulu Star-Advertiser	1
121	The Committee on Energy and Commerce	1
122	Congress: Job Ratings	1
123	Sec. John Kelly on Manchester investigation, keeping America safe	1
124	Politics, Policy, Political News	0
125	UF requests to cancel Rivalry game against FSU	0
126	Peter Strzok, FBI Agent in Texting Scandal, Will Testify Before Congress	0
127	Breaking News, Entertainment, Latest Videos, Outlook	1
128	Inquiry Sought in Hillary Clinton’s Use of Email	1
129	Florida Democrats Ask HHS to Protect Floridians from High Insurance Premiums in Marketplace	1
130	Morgan Griffith says EPA treats milk spills same way as oil spills	1
131	Texas Church Shooter Was Antifa Member Who Vowed To Start Civil War	0
132	WATCH LIVE: Tim Kaine and Corey Stewart meet for first U.S. Senate debate in Virginia	1
133	"""Face the Nation"" transcripts, August 26, 2012: Rubio, Priebus, Barbour, Blackburn"	1
134	Births: Preliminary Data for 2005	1
135	Starbucks Just Placed Trump’s Photo on Floor so Every Customer have to Step On It….	0
136	CQ.com	1
137	2008 Presidential Election	1
